,id,ball,over,runs,shortText,text,preText,postText,isWide,isNoball,isRetiredHurt,isBoundary,currentBatsmen,currentBowlers,currentInning.id,currentInning.balls,currentInning.runs,currentInning.wickets,matchOver.maiden,matchOver.runs,matchOver.wickets,matchOver.totalRuns,matchOver.totalWicket,matchOver.runRate,matchOver.requiredRunRate,matchOver.batsmen,matchOver.bowlers,matchOver.teamShortName,matchOver.remainingOvers,matchOver.remainingBalls,matchOver.remainingRuns,ballTimestamp,currentInning.team.name,currentInning.team.shortName,matchWicket.id,matchWicket.batsmanName,matchWicket.bowlerName,matchWicket.batsmanRuns,matchWicket.batsmanBalls,matchWicket.text
0,13060,6,3,4,"Blain to Gilchrist, FOUR runs","Gilly is up and away. Slightly short, little bit of room outside off and that' s enough for our master blaster to cut it past point",,,False,False,False,True,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 11, 'balls': 13}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 9, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,24,22,0,False,9.0,0.0,22.0,0.0,5.5,0.0,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 11, 'balls': 13}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 9, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 2, 'maidens': 0, 'runs': 11, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",AUS,0.0,276.0,0.0,0.0,Australia,AUS,,,,,,
1,13050,5,3,0,"Blain to Gilchrist, no run",overpitched on the off stump but Gilchrist drives straight to mid-off. A golden chance wasted there. Quite unlike Gilchrist.,,,False,False,False,False,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 12}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 9, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 1.5, 'maidens': 0, 'runs': 7, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,23,18,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
2,13040,4,3,1,"Blain to Hayden, 1 run","Short and bit of width outside offstump, cut to thirdman",,,False,False,False,False,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 9, 'balls': 11}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 1.4, 'maidens': 0, 'runs': 7, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,22,18,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
3,13030,3,3,0,"Blain to Hayden, no run","Back of length, on the off stump line, Hayden decides to work it to the leg side.",<p>There is a short cover in place</p>,,False,False,False,False,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 8, 'balls': 10}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 1.3, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,21,17,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
4,13020,2,3,0,"Blain to Hayden, no run",,,,False,False,False,False,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 8, 'balls': 9}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 1.2, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,20,17,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
5,13010,1,3,4,"Blain to Hayden, FOUR runs","Caressed away! Class. Slightly overpitched, outside off and Hayden was quick to lean forward and drive it past the bowler, past mid-off and to the boundary",,,False,False,False,True,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 8, 'balls': 8}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}]","[{'id': '25087', 'name': 'John Blain', 'overs': 1.1, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}]",20720,19,17,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
6,12060,6,2,4,"Hoffmann to Gilchrist, FOUR runs","Ooh! close. Just flies past the diving point fielder. Full and outside off, Gilchrist goes after that, clears his arms but only gets an outside edge and just about manages to clear point.",,,False,False,False,True,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 4, 'balls': 7}]","[{'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}, {'id': '25087', 'name': 'John Blain', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}]",20720,18,13,0,False,10.0,0.0,13.0,0.0,4.33,0.0,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 7, 'balls': 11}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 4, 'balls': 7}]","[{'id': '25432', 'name': 'Paul Hoffmann', 'overs': 2, 'maidens': 0, 'runs': 10, 'wickets': 0}, {'id': '25087', 'name': 'John Blain', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}]",AUS,0.0,282.0,0.0,0.0,Australia,AUS,,,,,,
7,12050,5,2,0,"Hoffmann to Gilchrist, no run",angling away from Gilchrist who lets that one go through to the 'keeper,,,False,False,False,False,"[{'id': '5390', 'name': 'Adam Gilchrist', 'runs': 3, 'balls': 10}, {'id': '5616', 'name': 'Matthew Hayden', 'runs': 4, 'balls': 7}]","[{'id': '25432', 'name': 'Paul Hoffmann', 'overs': 1.5, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25087', 'name': 'John Blain', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}]",20720,17,9,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
8,12040,4,2,1,"Hoffmann to Hayden, 1 leg bye",,,,False,False,False,False,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 4, 'balls': 7}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 3, 'balls': 9}]","[{'id': '25432', 'name': 'Paul Hoffmann', 'overs': 1.4, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25087', 'name': 'John Blain', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}]",20720,16,9,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
9,12030,3,2,4,"Hoffmann to Hayden, FOUR runs","There is the first boundary. Bit of rubbish on the legs and Hayden clears the trashcan with a flick shot, past square-leg. Easy.",,,False,False,False,True,"[{'id': '5616', 'name': 'Matthew Hayden', 'runs': 4, 'balls': 6}, {'id': '5390', 'name': 'Adam Gilchrist', 'runs': 3, 'balls': 9}]","[{'id': '25432', 'name': 'Paul Hoffmann', 'overs': 1.3, 'maidens': 0, 'runs': 6, 'wickets': 0}, {'id': '25087', 'name': 'John Blain', 'overs': 1, 'maidens': 0, 'runs': 2, 'wickets': 0}]",20720,15,8,0,,,,,,,,,,,,,,0.0,Australia,AUS,,,,,,
