,team,ball,over,runs,text,sentiment
0,AUS,6,2,4,"Ooh! close. Just flies past the diving point fielder. Full and outside off, Gilchrist goes after that, clears his arms but only gets an outside edge and just about manages to clear point.",Positive
1,AUS,3,2,4,"There is the first boundary. Bit of rubbish on the legs and Hayden clears the trashcan with a flick shot, past square-leg. Easy.",Positive
2,AUS,6,3,4,"Gilly is up and away. Slightly short, little bit of room outside off and that' s enough for our master blaster to cut it past point",Negative
3,AUS,1,3,4,"Caressed away! Class. Slightly overpitched, outside off and Hayden was quick to lean forward and drive it past the bowler, past mid-off and to the boundary",Neutral
4,AUS,2,5,4,Ouch! Too close to the body and Gilchrist gets away with a wild slash. Thick edge flies over first slip for another boundary. Moral victory for Blain - if ever there's anything like a moral victory,Positive
5,AUS,1,5,4,Typical Gilchrist response. Blain pushes it too full and Gilchrist smashes it through the extra cover region. Surely it must have burnt some grass on the way to the fence,Positive
6,AUS,3,6,6,Blitzer! Hayden walks down the wicket nonchalantly and dismisses the ball over the long-on fence for a cracking six. Hayden at his bullying best there.,Positive
7,AUS,6,6,4,Too wide from Hoffmann. The first real rank delivery and Hayden punishes it with a slash through covers. Ball races away to the point fence,Negative
8,AUS,3,7,4,Short ball from Blain and Gilchrist is up for the challenge. Pulls with a mighty swing and a thick top edge files over short fine-leg for a one-bounce four.,Positive
9,AUS,6,9,5,"on the middle stump line, Gilchrist turns it to left of mid-on who fires in a throw. Rebounds off the batsmen's bat and runs away to the boundary. Four extra runs. Such is life, such is this game.",Neutral
10,AUS,3,11,4,"Mis-field! Poonia is the culprit. Gilchrist times his offdrive well and Poonia, at long off,  doesn't time his sliding dive well.",Positive
11,AUS,2,14,4,Thwack! Hayden had enough of pottering around. Thrust his front foot out and swung through the line.,Neutral
12,AUS,3,16,4,"Swished away! Overpitcched outside off, and Gilchrist crashes it past mid-off. Easy pickings.",Positive
13,AUS,2,18,4,He is past that 1000-run landmark in WC. Reached there with a dash of class. He leant forward and on drove a full-length delivery past mid-on,Positive
14,AUS,1,19,4,Slap! Bit of room outside off and Hayden leans back to cut it past point.,Negative
15,AUS,5,20,4,"Class. Sheer Class. Slightly overpitched outside off and Ponting eases on the front foot and drives it with the full face of the blade, past mid-off.",Positive
16,AUS,2,20,4,Imperious! Ponting becomes Australia' top-scorer in WC with a fierce pull shot.,Neutral
17,AUS,4,22,4,"Chipped over mid-on! Slower delivery outside off and Ponting tries to swing it over  mid-on, the bat-handle rotates in his hands and the timing goes awry, but he still gets enough wood behind it to send it up and over mid-on",Neutral
18,AUS,2,23,4,Quicker ball slipped in outside off. Ponting angles the bat and glides to third man for a fine four,Positive
19,AUS,4,24,4,"Short ball from Brown and Hayden punishes it savagely for a four through midwicket. Cracked off the front foot and the fielders have no chance. As they would say in these parts, 'Not a man move'",Negative
20,AUS,6,27,4,"Quicker on off this time. With twinkling feet, Clarke moves away and cuts wide of the gully fielder for a fine four",Negative
21,AUS,5,28,4,Quicker ball again but too wayward down the leg side. Ponting sweeps it to where it belongs - to the fine leg fence,Positive
22,AUS,2,28,6,CRACK! Down the track and Ponting rips a flighted ball from Haq straight over his head for a big six. As easy as Andy there,Positive
23,AUS,4,29,6,Whoa! Ponting waltzes down the track and sends the ball soaring over long-off. Super strike.,Positive
24,AUS,6,31,4,Nonchalant drive through covers. A low full-toss and Ponting just eases it through the offside ring for a boundary,Positive
25,AUS,6,33,4,"overpitched on the legs, Ponting flicks it behind square. Smooth.",Neutral
26,AUS,4,34,4,Hodge gets off the mark with a crisp cut.,Negative
27,AUS,1,35,4,Overpitched outside off and Hogg creams it through cover. Ala Damyn Martyn.,Neutral
28,AUS,3,37,6,That's maximum. Ponting charges out and lofts it straight over the bowler. Up ... up and over.,Negative
29,AUS,2,38,6,Bosh! And there he goes again. Another charge down the track. Blink. The ball flies over the long-on boundary.,Neutral
30,AUS,4,38,4,"turns in towards off stump, Hodge backs away to cut it past short thirdman",Negative
